NM_VOTAVEL,DS_CARGO,ANO
SEVERTON PEREIRA DA SILVA,DEPUTADO ESTADUAL,2022
STEFANO AGUIAR DOS SANTOS,DEPUTADO FEDERAL,2022
Solidariedade,DEPUTADO ESTADUAL,2022
Solidariedade,DEPUTADO FEDERAL,2022
TALES MARCELO ALVES,DEPUTADO FEDERAL,2022
TANIA LUCIA DOS SANTOS,DEPUTADO FEDERAL,2022
TARCÍSIO PEREIRA DA COSTA,DEPUTADO FEDERAL,2022
THIAGO FERNANDES MENDES DA SILVA,DEPUTADO ESTADUAL,2022
THIAGO QUEIROZ,DEPUTADO ESTADUAL,2022
TIAGO HENRIQUE DE FREITAS,DEPUTADO ESTADUAL,2022
TIAGO ROGERIO DA SILVA FOGAÇA DE AGUIAR,DEPUTADO FEDERAL,2022
TITO BRUNO MIRANDA TORRES DUARTE,DEPUTADO ESTADUAL,2022
TONIZIA ALVES MANOEL,DEPUTADO FEDERAL,2022
UNIÃO BRASIL,DEPUTADO ESTADUAL,2022
UNIÃO BRASIL,DEPUTADO FEDERAL,2022
Unidade Popular,DEPUTADO FEDERAL,2022
VALDIR TIAGO DIAS,DEPUTADO FEDERAL,2022
VANESSA PORTUGAL BARBOSA,GOVERNADOR,2022
VICTOR MAGALHÃES CEZARINI,DEPUTADO ESTADUAL,2022
VOTO BRANCO,DEPUTADO ESTADUAL,2022
VOTO BRANCO,DEPUTADO FEDERAL,2022
VOTO BRANCO,GOVERNADOR,2022
VOTO BRANCO,SENADOR,2022
VOTO NULO,DEPUTADO ESTADUAL,2022
VOTO NULO,DEPUTADO FEDERAL,2022
VOTO NULO,GOVERNADOR,2022
VOTO NULO,SENADOR,2022
WAGNER MARIANO JUNIOR,DEPUTADO FEDERAL,2022
WARLEY ISIDORO LEITE,DEPUTADO FEDERAL,2022
WASHINGTON FERNANDO RODRIGUES,DEPUTADO ESTADUAL,2022
WELITON FERNANDES PRADO,DEPUTADO FEDERAL,2022
WENDEL CRISTIANO SOARES DE MESQUITA,DEPUTADO ESTADUAL,2022
WESLEY DE JESUS SILVA,DEPUTADO ESTADUAL,2022
WHELTON PIMENTEL DE FREITAS,DEPUTADO ESTADUAL,2022
WILLIAM DE SOUZA JACOB,DEPUTADO FEDERAL,2022
YULA DE LIMA MEROLA,DEPUTADO FEDERAL,2022
ZEIZA MATILDES DA SILVA,DEPUTADO FEDERAL,2022
ZELIA CARDOSO DE SOUZA,DEPUTADO FEDERAL,2022
ÁLVARO DAMIÃO VIEIRA DA PAZ,DEPUTADO FEDERAL,2022
ÂNGELO MÁRCIO RESENDE,DEPUTADO ESTADUAL,2022
ÊNIO DE OLIVEIRA MARTINS,DEPUTADO ESTADUAL,2022
ADAIR JOSE DOS SANTOS,DEPUTADO ESTADUAL,2022
ADAISSON OSCAR FERREIRA,DEPUTADO ESTADUAL,2022
ADALCLEVER RIBEIRO LOPES,DEPUTADO ESTADUAL,2022
ADAUTO PEREIRA DA SILVA,DEPUTADO ESTADUAL,2022
ADEMIR CAMILO PRATES RODRIGUES,DEPUTADO FEDERAL,2022
ADRIANA PAULA PEREIRA,DEPUTADO FEDERAL,2022
ADRIANA PINHEIRO GODINHO,DEPUTADO ESTADUAL,2022
ADRIANO CÂNDIDO DA SILVA,DEPUTADO FEDERAL,2022
AGIR,DEPUTADO FEDERAL,2022
AILTON FERREIRA DA SILVA,DEPUTADO ESTADUAL,2022
ALAN CARDEK LUIZ DA SILVA,DEPUTADO ESTADUAL,2022
ALBERT DENIS REIS DA SILVA,DEPUTADO FEDERAL,2022
ALDO MATOS MELO JUNIOR,DEPUTADO ESTADUAL,2022
ALENCAR MAGALHAES DA SILVEIRA JÚNIOR,DEPUTADO ESTADUAL,2022
ALESSANDRA APARECIDA VILAÇA,DEPUTADO ESTADUAL,2022
ALESSANDRA BARBOSA DOS SANTOS,DEPUTADO FEDERAL,2022
ALESSANDRA SILVA RIBEIRO,DEPUTADO FEDERAL,2022
ALESSANDRO GERALDO DIAS,DEPUTADO FEDERAL,2022
ALESSANDRO RIBEIRO FERNANDES,DEPUTADO FEDERAL,2022
ALEX CAVALCANTE GONÇALVES,DEPUTADO FEDERAL,2022
